degree_name,degree_category,stem
Clinical Laboratory Science/Medical Technology/Technologist,"Biological and Biomedical Sciences
",Yes
"Clinical/Medical Laboratory Science and Allied Professions, Other","Biological and Biomedical Sciences
",Yes
Health/Health Care Administration/Management,"Business
",No
Nursing Practice,Nursing and Related,No
Pharmaceutics and Drug Design,"Biological and Biomedical Sciences
",Yes
Pharmacy,"Biological and Biomedical Sciences
",Yes
Registered Nursing/Registered Nurse,Nursing and Related,No
"History, General",History,No
Legal Studies,"Legal Professions and Studies
",No
"Liberal Arts and Sciences, General Studies and Humanities, Other","Liberal Arts and Humanities
",No
"Applied Mathematics, General","Mathematics and Statistics
",Yes
"Statistics, General","Mathematics and Statistics
",Yes
"Multi-/Interdisciplinary Studies, General","Multi/Interdisciplinary Studies
",No
Nutrition Sciences,"Agricultural/Animal/Plant/Veterinary Science
",Yes
Environmental Science,"Natural Resources and Conservation
",Yes
Environmental/Natural Resource Recreation and Tourism,"Natural Resources and Conservation
",No
"Environmental/Natural Resources Management and Policy, General","Natural Resources and Conservation
",No
Forest Sciences and Biology,"Natural Resources and Conservation
",Yes
"Natural Resources/Conservation, General","Natural Resources and Conservation
",Yes
"Wildlife, Fish and Wildlands Science and Management","Natural Resources and Conservation
",Yes
Philosophy,"Philosophy and Religious Studies
",No
"Geological and Earth Sciences/Geosciences, Other","Natural Resources and Conservation
",Yes
"Geology/Earth Science, General","Natural Resources and Conservation
",Yes
Clinical Psychology,"Psychology
",No
Industrial and Organizational Psychology,"Psychology
",No
Public Administration,"Public Administration and Social Service
",No
"Anthropology, General","Social Sciences
",No
"Economics, General","Business
",No
Geographic Information Science and Cartography,"Natural Resources and Conservation
",Yes
Geography,"Natural Resources and Conservation
",No
Airline/Commercial/Professional Pilot and Flight Crew,"Transportation and Materials Moving
",No
Aviation/Airway Management and Operations,"Transportation and Materials Moving
",Yes
"Design and Applied Arts, Other","Visual and Performing Arts
",No
"Design and Visual Communications, General","Communications and Journalism
",No
"Drama and Dramatics/Theatre Arts, General","Visual and Performing Arts
",No
"Fine/Studio Arts, General","Visual and Performing Arts
",No
Industrial and Product Design,"Business
",No
Interior Design,"Architecture and Related Services
",No
"Administrative Assistant and Secretarial Science, General",Other Trade,No
Electrician,Other Trade,No
Salon/Beauty Salon Management/Manager,Other Trade,No
"Drafting and Design Technology/Technician, General","Architecture and Related Services
",Yes
"Heating, Ventilation, Air Conditioning and Refrigeration Engineering Technology/Technician",Other Trade,Yes
Instrumentation Technology/Technician,"Visual and Performing Arts
",No
Child Care and Support Services Management,Education,No
Emergency Medical Technology/Technician (EMT Paramedic),"Law Enforcement, Firefighting and Related
",No
Licensed Practical/Vocational Nurse Training,Nursing and Related,No
Surgical Technology/Technologist,"Health and Kinesiology
",No
Autobody/Collision and Repair Technology/Technician,Other Trade,No
Automobile/Automotive Mechanics Technology/Technician,Other Trade,No
Diesel Mechanics Technology/Technician,Other Trade,No
Industrial Electronics Technology/Technician,Other Trade,No
"Vehicle Maintenance and Repair Technology/Technician, General",Other Trade,No
Tool and Die Technology/Technician,Other Trade,No
Welding Technology/Welder,Other Trade,Yes
Truck and Bus Driver/Commercial Vehicle Operator and Instructor,Other Trade,No
Accounting Technology/Technician and Bookkeeping,Other Trade,No
"Business/Commerce, General","Business
",No
"Graphic Communications, Other","Communications and Journalism
",No
Barbering/Barber,Other Trade,No
"Cosmetology/Cosmetologist, General",Other Trade,No
Culinary Arts/Chef Training,Other Trade,No
"Electrical, Electronic, and Communications Engineering Technology/Technician","Engineering Technologies/Technicians
",Yes
Health Information/Medical Records Technology/Technician,Other Trade,No
Medical Transcription/Transcriptionist,Other Trade,No
Physical Therapy Assistant,Other Trade,No
"Multi-/Interdisciplinary Studies, Other",Other Trade,No
Manufacturing Engineering Technology/Technician,"Engineering Technologies/Technicians
",Yes
Medical/Clinical Assistant,Nursing and Related,No
Criminal Justice/Police Science,"Law Enforcement, Firefighting and Related
",No
Fire Services Administration,"Law Enforcement, Firefighting and Related
",No
"Homeland Security, Law Enforcement, Firefighting and Related Protective Services, Other","Law Enforcement, Firefighting and Related
",No
"Music History, Literature, and Theory","Visual and Performing Arts
",No
Project Management,"Business
",Yes
Information Technology,"Computer and Information Sciences
",Yes
Occupational Safety and Health Technology/Technician,"Health and Kinesiology
",Yes
Medical Insurance Coding Specialist/Coder,Other Trade,No
Psychiatric/Mental Health Services Technician,"Health and Kinesiology
",No
"Public Health, General","Health and Kinesiology
",Yes
Crisis/Emergency/Disaster Management,"Law Enforcement, Firefighting and Related
",No
Fire Science/Fire-fighting,"Law Enforcement, Firefighting and Related
",No
Homeland Security,"Law Enforcement, Firefighting and Related
",No
Environmental Studies,"Natural Resources and Conservation
",Yes
Biochemistry,"Biological and Biomedical Sciences
",Yes
Curriculum and Instruction,Education,No
History Teacher Education,Education,No
Clinical Pastoral Counseling/Patient Counseling,"Psychology
",No
"Communication Sciences and Disorders, General","Communications and Journalism
",No
Mental Health Counseling/Counselor,"Health and Kinesiology
",No
Pre-Medicine/Pre-Medical Studies,"Health and Kinesiology
",No
Pre-Physical Therapy Studies,"Health and Kinesiology
",No
Law,"Legal Professions and Studies
",No
Humanities/Humanistic Studies,"Liberal Arts and Humanities
",No
Forensic Psychology,"Psychology
",No
Health/Medical Psychology,"Psychology
",No
"Psychology, Other","Psychology
",Yes
"Social Sciences, General","Social Sciences
",No
Missions/Missionary Studies,"Philosophy and Religious Studies
",No
Theology/Theological Studies,"Philosophy and Religious Studies
",No
Youth Ministry,"Philosophy and Religious Studies
",No
"Microbiology, General","Biological and Biomedical Sciences
",Yes
Speech Communication and Rhetoric,"English Language and Literature
",No
"Computer/Information Technology Services Administration and Management, Other","Computer and Information Sciences
",No
Information Science/Studies,"Computer and Information Sciences
",Yes
Bioengineering and Biomedical Engineering,"Biological and Biomedical Sciences
",Yes
Health Information/Medical Records Administration/Administrator,"Health and Kinesiology
",No
Occupational Therapy/Therapist,"Health and Kinesiology
",No
Orthotist/Prosthetist,"Health and Kinesiology
",No
Physical Therapy/Therapist,"Health and Kinesiology
",No
"Rehabilitation and Therapeutic Professions, Other","Health and Kinesiology
",No
Vocational Rehabilitation Counseling/Counselor,Education,No
Criminalistics and Criminal Science,"Law Enforcement, Firefighting and Related
",No
Forensic Science and Technology,"Natural Resources and Conservation
",Yes
"Parks, Recreation, and Leisure Facilities Management, General","Health and Kinesiology
",No
Forensic Chemistry,"Natural Resources and Conservation
",Yes
"Public Administration and Social Service Professions, Other","Public Administration and Social Service
",No
"Dance, General","Visual and Performing Arts
",No
"Purchasing, Procurement/Acquisitions and Contracts Management","Business
",No
Science/Technology Management,"Engineering Technologies/Technicians
",No
"Education, Other",Education,No
Kindergarten/Preschool Education and Teaching,Education,No
"Health Professions and Related Clinical Sciences, Other","Health and Kinesiology
",No
Behavioral Sciences,"Psychology
",Yes
Religion/Religious Studies,"Philosophy and Religious Studies
",No
"Rhetoric and Composition/Writing Studies, Other","English Language and Literature
",No
"Foreign Languages and Literatures, General","Foreign Language and Literature
",No
Clinical/Medical Laboratory Technician,"Engineering Technologies/Technicians
",Yes
"Physical Sciences, General","Physical Sciences
",No
Applied Economics,"Business
",Yes
"Political Science and Government, Other","Public Administration and Social Service
",No
"Architecture and Related Services, Other","Architecture and Related Services
",Yes
Asian Studies/Civilization,"Area, Ethnic, Cultural, Gender, and Group Studies
",No
"Computer and Information Sciences,  Other","Computer and Information Sciences
",Yes
Pre-Engineering,"Engineering Technologies/Technicians
",Yes
"Health Services/Allied Health/Health Sciences, General","Health and Kinesiology
",No
Financial Mathematics,"Business
",Yes
"Social Sciences, Other","Social Sciences
",No
"Art History, Criticism and Conservation","Visual and Performing Arts
",No
Musical Theatre,"Visual and Performing Arts
",No
Machine Shop Technology/Assistant,Other Trade,No
"Precision Metal Working, Other",Other Trade,No
Landscaping and Groundskeeping,Other Trade,No
Veterinary/Animal Health Technology/Technician and Veterinary Assistant,"Agricultural/Animal/Plant/Veterinary Science
",Yes
"Animation, Interactive Technology, Video Graphics, and Special Effects","Visual and Performing Arts
",Yes
"Cosmetology and Related Personal Grooming Arts, Other",Other Trade,No
