degree_name,degree_category,stem
Patient Safety and Healthcare Quality,"Health Professions and Related
",No
Cyber/Computer Forensics and Counterterrorism,"Computer and Information Sciences
",Yes
"Data Science, General","Computer and Information Sciences
",Yes
Intercultural/Multicultural and Diversity Studies,"Liberal Arts and Humanities
",No
Systems Science and Theory,"Physical Sciences
",Yes
"Science Technologies/Technicians, General","Physical Sciences
",Yes
"Anthropology, Other","History
",No
Music Technology,"Visual and Performing Arts
",No
"Culinary Arts and Related Services, Other","Visual and Performing Arts
",No
Manufacturing Engineering,"Engineering
",Yes
Family Systems,"Family and Human Sciences
",No
Public/Applied History,"History
",No
Sustainability Studies,"Business
",No
"Parks, Recreation, Leisure, Fitness, and Kinesiology, Other","Health and Kinesiology
",No
Applied Behavior Analysis,"Psychology
",No
"Research and Experimental Psychology, Other","Psychology
",Yes
"Geography, Other",Social Sciences,No
"Arts, Entertainment, and Media Management, General","Visual and Performing Arts
",No
Conservation Biology,"Biological and Biomedical Sciences
",Yes
Experimental Psychology,"Psychology
",Yes
Econometrics and Quantitative Economics,"Business
",Yes
Teacher Assistant/Aide,Education,No
Behavioral Aspects of Health,"Psychology
",No
Pre-Theology/Pre-Ministerial Studies,"Area, Ethnic, Cultural, Gender, and Group Studies
",No
American Indian/Native American Studies,"Area, Ethnic, Cultural, Gender, and Group Studies
",No
Small Business Administration/Management,"Business
",No
Building Construction Technology/Technician,"Transportation and Materials Moving
",No
Indian/Native American Education,"Education
",No
"American Indian/Native American Languages, Literatures, and Linguistics",Foreign Languages and Literature,No
Livestock Management,"Business
",No
"Area Studies, Other","Area, Ethnic, Cultural, Gender, and Group Studies
",No
Banking and Financial Support Services,"Business
",No
Executive/Career Coaching,"Business
",No
Building/Property Maintenance,"Architecture and Related Services
",No
"Construction Trades, General","Architecture and Related Services
",No
Baking and Pastry Arts/Baker/Pastry Chef,"Visual and Performing Arts
",No
Geological/Geophysical Engineering,Engineering,Yes
Mining and Mineral Engineering,Engineering,Yes
Petroleum Engineering,Engineering,Yes
Water Resources Engineering,Engineering,Yes
Mining Technology/Technician,"Engineering Technologies/Technicians
",Yes
"Foreign Languages, Literatures, and Linguistics, Other","Foreign Language and Literature
",No
Japanese Language and Literature,"Foreign Language and Literature
",No
Linguistics,"Foreign Language and Literature
",No
Clinical/Medical Laboratory Assistant,"Health Professions and Related
",Yes
Community Health Services/Liaison/Counseling,"Health Professions and Related
",No
Medical Administrative/Executive Assistant and Medical Secretary,"Health Professions and Related
",No
"Mental and Social Health Services and Allied Professions, Other","Health Professions and Related
",No
Pre-Nursing Studies,Nursing and Related,No
Critical Infrastructure Protection,"Law Enforcement, Firefighting and Related
",No
"Fire Protection, Other","Law Enforcement, Firefighting and Related
",No
"Legal Professions and Studies, Other","Legal Professions and Studies
",No
Marine Sciences,"Physical Sciences
",Yes
Natural Sciences,"Physical Sciences
",No
Fishing and Fisheries Sciences and Management,"Natural Resources and Conservation
",No
Astrophysics,"Physical Sciences
",Yes
"Chemistry, Other","Biological and Biomedical Sciences
",Yes
Geophysics and Seismology,"Natural Resources and Conservation
",Yes
"Oceanography, Chemical and Physical","Natural Resources and Conservation
",Yes
Community Organization and Advocacy,"Public Administration and Social Service
",No
"Science Technologies/Technicians, Other","Biological and Biomedical Sciences
",Yes
"Economics, Other","Business
",Yes
Film/Cinema/Media Studies,"Visual and Performing Arts
",No
Technical Theatre/Theatre Design and Technology,"Visual and Performing Arts
",No
Phlebotomy Technician/Phlebotomist,"Biological and Biomedical Sciences
",No
"Air Transportation, Other","Transportation and Materials Moving
",No
Health Services Administration,"Health Professions and Related
",No
Outdoor Education,"Education
",No
"Business, Management, Marketing, and Related Support Services, Other","Business
",No
General Office Occupations and Clerical Services,"Business
",No
Retail Management,"Business
",No
"Computer Programming, Specific Applications","Computer and Information Sciences
",Yes
"System, Networking, and LAN/WAN Management/Manager","Computer and Information Sciences
",No
"Culinary, Entertainment, and Personal Services, Other","Visual and Performing Arts
",No
"Civil Engineering, Other",Engineering,Yes
Architectural Drafting and Architectural CAD/CADD,"Architecture and Related Services
",Yes
Architectural Engineering Technologies/Technicians,"Architecture and Related Services
",Yes
Computer/Computer Systems Technology/Technician,"Computer and Information Sciences
",Yes
Petroleum Technology/Technician,"Engineering Technologies/Technicians
",Yes
Child Care Provider/Assistant,"Family and Human Sciences
",No
"Allied Health and Medical Assisting Services, Other","Agricultural/Animal/Plant/Veterinary Science
",No
Psychiatric/Mental Health Nurse/Nursing,"Family and Human Sciences
",No
Corrections,"Legal Professions and Studies
",No
Heavy Equipment Maintenance Technology/Technician,"Engineering Technologies/Technicians
",No
"Aeronautics/Aviation/Aerospace Science and Technology, General","Engineering Technologies/Technicians
",Yes
Air Traffic Controller,"Transportation and Materials Moving
",No
Building/Home/Construction Inspection/Inspector,"Architecture and Related Services
",No
CAD/CADD Drafting and/or Design Technology/Technician,"Architecture and Related Services
",Yes
Marine Maintenance/Fitter and Ship Repair Technology/Technician,"Engineering Technologies/Technicians
",No
"Diver, Professional and Instructor","Transportation and Materials Moving
",No
"Marine Transportation, Other","Transportation and Materials Moving
",No
"Crafts/Craft Design, Folk Art and Artisanry","Visual and Performing Arts
",No
Telecommunications Management,Business,No
"Criminal Justice and Corrections, General","Legal Professions and Studies
",No
Business Analytics,"Business
",Yes
Dispute Resolution,"Family and Human Sciences
",No
Medical/Health Management and Clinical Assistant/Specialist,"Health Professions and Related
",No
Bioinformatics,"Computer and Information Sciences
",Yes
Research and Development Management,"Business
",No
Tourism and Travel Services Management,"Business
",No
Technical and Scientific Communication,Communication and Journalism,No
Information Technology Project Management,"Business
",Yes
Bilingual and Multilingual Education,"Education
",No
Education/Teaching of Individuals with Autism,"Education
",No
Computer Software Engineering,"Computer and Information Sciences
",Yes
Engineering Science,Engineering,Yes
International Public Health/International Health,"Health Professions and Related
",No
Public Health Education and Promotion,"Health Professions and Related
",No
"History, Other","History
",No
Corrections Administration,"Legal Professions and Studies
",No
"Advanced Legal Research/Studies, General","Legal Professions and Studies
",No
"Public Policy Analysis, General","Public Administration and Social Service
",No
"International Relations and National Security Studies, Other",Social Sciences,No
"Film/Video and Photographic Arts, Other","Visual and Performing Arts
",No
Sterile Processing Technology/Technician,"Engineering Technologies/Technicians
",No
Family Psychology,"Family and Human Sciences
",No
American Government and Politics (United States),History,No
Crop Production,"Agricultural/Animal/Plant/Veterinary Science
",No
Architectural and Building Sciences/Technology,"Architecture and Related Services
",No
African Studies,"Area, Ethnic, Cultural, Gender, and Group Studies
",No
Asian-American Studies,"Area, Ethnic, Cultural, Gender, and Group Studies
",No
Gay/Lesbian Studies,"Area, Ethnic, Cultural, Gender, and Group Studies
",No
"Hispanic-American, Puerto Rican, and Mexican-American/Chicano Studies","Area, Ethnic, Cultural, Gender, and Group Studies
",No
Korean Studies,"Area, Ethnic, Cultural, Gender, and Group Studies
",No
"Russian, Central European, East European and Eurasian Studies","Area, Ethnic, Cultural, Gender, and Group Studies
",No
Animal Behavior and Ethology,"Agricultural/Animal/Plant/Veterinary Science
",Yes
Biometry/Biometrics,"Biological and Biomedical Sciences
",Yes
Biophysics,"Biological and Biomedical Sciences
",Yes
Botany/Plant Biology,"Agricultural/Animal/Plant/Veterinary Science
",Yes
Cell/Cellular and Molecular Biology,"Biological and Biomedical Sciences
",Yes
Evolutionary Biology,"Biological and Biomedical Sciences
",Yes
Molecular Biology,"Biological and Biomedical Sciences
",Yes
Actuarial Science,"Mathematics and Statistics
",Yes
Insurance,"Business
",No
"Management Sciences and Quantitative Methods, Other","Business
",Yes
Meeting and Event Planning,"Business
",No
Transportation/Mobility Management,"Business
",No
International and Intercultural Communication,"Communications and Journalism
",No
Sports Communication,"Communications and Journalism
",No
"Computer Software and Media Applications, Other","Computer and Information Sciences
",Yes
Drama and Dance Teacher Education,"Education
",No
Educational Evaluation and Research,Education,No
Environmental Education,"Education
",No
Social and Philosophical Foundations of Education,"Education
",No
"Mechatronics, Robotics, and Automation Engineering",Engineering,Yes
Hazardous Materials Management and Waste Technology/Technician,"Engineering Technologies/Technicians
",No
Nanotechnology,"Biological and Biomedical Sciences
",Yes
Solar Energy Technology/Technician,"Engineering Technologies/Technicians
",Yes
Family and Consumer Sciences/Human Sciences Communication,"Communications and Journalism
",No
Applied Linguistics,English Langauge and Literature,No
Arabic Language and Literature,"Foreign Language and Literature
",No
"East Asian Languages, Literatures, and Linguistics, General","Foreign Language and Literature
",No
Hebrew Language and Literature,"Foreign Language and Literature
",No
Italian Language and Literature,"Foreign Language and Literature
",No
Russian Language and Literature,"Foreign Language and Literature
",No
Kinesiotherapy/Kinesiotherapist,"Health and Kinesiology
",Yes
Music Therapy/Therapist,"Visual and Performing Arts
",No
Speech-Language Pathology Assistant,"English Language and Literature
",No
History and Philosophy of Science and Technology,"History
",No
"Applied Mathematics, Other","Mathematics and Statistics
",Yes
Computational Mathematics,"Computer and Information Sciences
",Yes
"Mathematics and Statistics, Other","Mathematics and Statistics
",Yes
"Mathematics, Other","Mathematics and Statistics
",Yes
"Cognitive Science, General","Biological and Biomedical Sciences
",Yes
Cultural Studies/Critical Theory and Analysis,"Area, Ethnic, Cultural, Gender, and Group Studies
",No
Human Computer Interaction,"Computer and Information Sciences
",Yes
Medieval and Renaissance Studies,History,No
Museology/Museum Studies,History,No
"Natural Resources Conservation and Research, Other","Natural Resources and Conservation
",No
Applied and Professional Ethics,"Philosophy and Religious Studies
",No
Islamic Studies,"Area, Ethnic, Cultural, Gender, and Group Studies
",No
Jewish/Judaic Studies,"Area, Ethnic, Cultural, Gender, and Group Studies
",No
Applied Psychology,"Psychology
",No
Education Policy Analysis,"Public Administration and Social Service
",No
"Social Work, Other","Public Administration and Social Service
",No
Demography and Population Studies,"Social Sciences
",No
Political Economy,"Social Sciences
",No
Research Methodology and Quantitative Methods,"Mathematics and Statistics
",Yes
Urban Studies/Affairs,"Architecture and Related Services
",No
"Arts, Entertainment, and Media Management, Other","Visual and Performing Arts
",No
Fashion/Apparel Design,Other Trade,No
"Agricultural Business and Management, General","Agricultural/Animal/Plant/Veterinary Science
",No
"Plant Sciences, General","Agricultural/Animal/Plant/Veterinary Science
",No
Computer Graphics,"Computer and Information Sciences
",Yes
"Plumbing and Related Water Supply Services, Other","Architecture and Related Services
",No
"Restaurant, Culinary, and Catering Management/Manager","Architecture and Related Services
",No
"Electrical/Electronic Engineering Technologies/Technicians, Other","Architecture and Related Services
",Yes
Electrical/Electronics Drafting and Electrical/Electronics CAD/CADD,"Architecture and Related Services
",Yes
Mechanical Drafting and Mechanical Drafting CAD/CADD,"Architecture and Related Services
",Yes
Welding Engineering Technology/Technician,"Architecture and Related Services
",Yes
Law Enforcement Investigation and Interviewing,"Law Enforcement, Firefighting and Related
",No
Rehabilitation Aide,"Physical Sciences
",No
Security and Loss Prevention Services,"Law Enforcement, Firefighting and Related
",No
Web/Multimedia Management and Webmaster,"Computer and Information Sciences
",No
Food Preparation/Professional Cooking/Kitchen Assistant,Other Trade,No
Home Health Aide/Home Attendant,"Health Professions and Related
",No
Computer Installation and Repair Technology/Technician,"Computer and Information Sciences
",No
Air and Space Operations Technology,Business,Yes
"Intelligence, General","Computer and Information Sciences
",Yes
Computer Systems Analysis/Analyst,"Computer and Information Sciences
",Yes
"Web Page, Digital/Multimedia and Information Resources Design","Computer and Information Sciences
",Yes
Biomedical Technology/Technician,"Biological and Biomedical Sciences
",Yes
Computer Engineering Technology/Technician,"Computer and Information Sciences
",Yes
Wildlife Biology,"Biological and Biomedical Sciences
",No
"Business Operations Support and Secretarial Services, Other",Business,No
Retailing and Retail Operations,Business,No
Photographic and Film/Video Technology/Technician,Other Trade,No
"Cooking and Related Culinary Arts, General","Visual and Performing Arts
",No
"Cosmetology, Barber/Styling, and Nail Instructor",Other Trade,No
Hair Styling/Stylist and Hair Design,Other Trade,No
Health Aide,"Health Professions and Related
",No
Pre-Chiropractic Studies,"Health Professions and Related
",No
Pre-Optometry Studies,"Health Professions and Related
",No
Pre-Pharmacy Studies,"Health Professions and Related
",No
Appliance Installation and Repair Technology/Technician,"Engineering Technologies/Technicians
",No
"Forestry, General","Natural Resources and Conservation
",Yes
Metal Fabricator,"Engineering Technologies/Technicians
",No
Business/Office Automation/Technology/Data Entry,Business,No
Cloud Computing,"Computer and Information Sciences
",Yes
"Computer Programming, Vendor/Product Certification","Computer and Information Sciences
",No
Community College Administration,Education,No
Automation Engineer Technology/Technician,"Engineering Technologies/Technicians
",Yes
Electromechanical/Electromechanical Engineering Technology/Technician,"Engineering Technologies/Technicians
",Yes
Energy Systems Technology/Technician,"Engineering Technologies/Technicians
",Yes
Nuclear Engineering Technology/Technician,"Engineering Technologies/Technicians
",Yes
General Literature,"English Language and Literature
",No
Language Interpretation and Translation,"English Language and Literature
",No
"Electrical/Electronics Equipment Installation and Repair Technology/Technician, General","Engineering Technologies/Technicians
",No
Astronomy,"Natural Resources and Conservation
",Yes
Prepress/Desktop Publishing and Digital Imaging Design,"Computer and Information Sciences
",No
Recording Arts Technology/Technician,"Visual and Performing Arts
",No
"Data Entry/Microcomputer Applications, General","Computer and Information Sciences
",No
"Linguistic, Comparative, and Related Language Studies and Services, Other",English Language and Literature,No
Biology/Biotechnology Technology/Technician,"Biological and Biomedical Sciences
",Yes
Game and Interactive Media Design,"Computer and Information Sciences
",Yes
Music Management,"Visual and Performing Arts
",No
Agricultural Mechanics and Equipment/Machine Technology/Technician,"Agricultural/Animal/Plant/Veterinary Science
",No
Agroecology and Sustainable Agriculture,"Agricultural/Animal/Plant/Veterinary Science
",Yes
"Hotel, Motel, and Restaurant Management",Business,No
Institutional Food Workers,Other Trade,No
Dietetic Technician,"Health Professions and Related
",No
Fire Prevention and Safety Technology/Technician,"Law Enforcement, Firefighting and Related
",No
Cyber/Electronic Operations and Warfare,"Computer and Information Sciences
",Yes
Accounting and Computer Science,Business,No
Construction/Heavy Equipment/Earthmoving Equipment Operation,"Architecture and Related Services
",No
"Ground Transportation, Other","Transportation and Materials Moving
",No
Marketing Research,Business,No
Data Modeling/Warehousing and Database Administration,"Computer and Information Sciences
",Yes
"Electrical and Power Transmission Installation/Installer, General","Engineering Technologies/Technicians
",No
Lineworker,Other Trade,No
Flight Instructor,Other Trade,No
Computer Software Technology/Technician,"Computer and Information Sciences
",Yes
American Sign Language (ASL),Foreign Language and Literature,No
Wildland/Forest Firefighting and Investigation,"Law Enforcement, Firefighting and Related
",No
Range Science and Management,"Agricultural/Animal/Plant/Veterinary Science
",Yes
"Fiber, Textile and Weaving Arts","Visual and Performing Arts
",No
Jewelry Arts,"Visual and Performing Arts
",No
Financial Forensics and Fraud Investigation,"Law Enforcement, Firefighting and Related
",No
"Construction Trades, Other","Architecture and Related Services
",No
Painting/Painter and Wall Coverer,"Architecture and Related Services
",No
Pipefitting/Pipefitter and Sprinkler Fitter,Other Trade,No
Health Unit Coordinator/Ward Clerk,"Health Professions and Related
",No
Medical Radiologic Technology/Science - Radiation Therapist,"Health Professions and Related
",No
Perioperative/Operating Room and Surgical Nurse/Nursing,Nursing and Related,No
Polysomnography,"Health Professions and Related
",No
Computer Numerically Controlled (CNC) Machinist Technology/CNC Machinist,"Computer and Information Sciences
",No
Ironworking/Ironworker,Other Trade,No
Sheet Metal Technology/Sheetworking,Other Trade,No
Biochemistry and Molecular Biology,"Biological and Biomedical Sciences
",Yes
Education/Teaching of Individuals in Elementary Special Education Programs,Education,No
Mechanical/Mechanical Engineering Technology/Technician,"Engineering Technologies/Technicians
",Yes
Critical Care Nursing,Nursing and Related,No
Hospital and Health Care Facilities Administration/Management,Business,No
Cinematography and Film/Video Production,"Visual and Performing Arts
",No
Digital Arts,"Visual and Performing Arts
",No
"Theology and Religious Vocations, Other","Philosophy and Religious Studies
",No
Computer Teacher Education,Education,No
"Electrical/Electronics Maintenance and Repair Technologies/Technicians, Other","Engineering Technologies/Technicians
",No
Ethnic Studies,"Philosophy and Religious Studies
",No
Zoology/Animal Biology,"Agricultural/Animal/Plant/Veterinary Science
",Yes
Fashion Merchandising,Business,No
"Finance and Financial Management Services, Other",Business,No
Investments and Securities,Business,No
"Public Relations, Advertising, and Applied Communication, Other",Business,No
Education/Teaching of Individuals Who are Developmentally Delayed,"Education
",No
Elementary and Middle School Administration/Principalship,"Education
",No
French Language Teacher Education,"Education
",No
German Language Teacher Education,"Education
",No
International and Comparative Education,"Education
",No
Physics Teacher Education,"Education
",No
Spanish Language Teacher Education,"Education
",No
"Teacher Education and Professional Development, Specific Subject Areas, Other","Education
",No
"English Language and Literature/Letters, Other",English Language and Literature,No
Medical Science/Scientist,"Health Professions and Related
",Yes
Law Enforcement Intelligence Analysis,"Law Enforcement, Firefighting and Related
",No
Pre-Law Studies,"Legal Professions and Studies
",No
"Statistics, Other",Mathematics and Statistics,Yes
Computational Science,"Computer and Information Sciences
",Yes
Painting,"Visual and Performing Arts
",No
Photography,"Visual and Performing Arts
",No
Art Therapy/Therapist,"Visual and Performing Arts
",No
Geropsychology,"Psychology
",No
"Alternative and Complementary Medicine and Medical Systems, Other","Biological and Biomedical Sciences
",No
Pre-Veterinary Studies,"Agricultural/Animal/Plant/Veterinary Science
",No
Real Estate,Business,No
Resort Management,Business,No
Data Processing and Data Processing Technology/Technician,"Computer and Information Sciences
",Yes
Building/Construction Site Management/Manager,"Architecture and Related Services
",No
"Electrical and Power Transmission Installers, Other",Other Trade,No
Civil Drafting and Civil Engineering CAD/CADD,"Architecture and Related Services
",Yes
Computer Hardware Technology/Technician,"Computer and Information Sciences
",Yes
"Drafting/Design Engineering Technologies/Technicians, Other","Architecture and Related Services
",Yes
Laser and Optical Technology/Technician,"Engineering Technologies/Technicians
",Yes
"Mining and Petroleum Technologies/Technicians, Other","Engineering Technologies/Technicians
",Yes
Cardiovascular Technology/Technologist,"Health Professions and Related
",Yes
Clinical Research Coordinator,"Health Professions and Related
",No
Dental Laboratory Technology/Technician,"Health Professions and Related
",No
Histologic Technician,"History
",No
Pre-Dentistry Studies,"Health Professions and Related
",No
Somatic Bodywork,"Health Professions and Related
",No
Legal Administrative Assistant/Secretary,"Legal Professions and Studies
",No
"Vehicle Maintenance and Repair Technologies/Technicians, Other","Engineering Technologies/Technicians
",No
Archeology,History,Yes
Ornamental Horticulture,"Health Professions and Related
",No
Merchandising and Buying Operations,Business,No
Costume Design,Other Trade,No
"Banking, Corporate, Finance, and Securities Law",Business,No
"Electromechanical Technologies/Technicians, Other","Engineering Technologies/Technicians
",Yes
Deaf Studies,"Area, Ethnic, Cultural, Gender, and Group Studies
",No
"Regional Studies (U.S., Canadian, Foreign)","Area, Ethnic, Cultural, Gender, and Group Studies
",No
Histologic Technology/Histotechnologist,"History
",No
Animal-Assisted Therapy,"Agricultural/Animal/Plant/Veterinary Science
",No
Therapeutic Recreation/Recreational Therapy,"Health Professions and Related
",No
Environmental Psychology,"Psychology
",No
Customer Service Management,Business,No
Customer Service Support/Call Center/Teleservice Operation,Other Trade,No
"Graphic Communications, General","Communications and Journalism
",No
Adult Development and Aging,"Health Professions and Related
",No
Dental Public Health and Education,"Education
",No
Long Term Care Administration/Management,"Health Professions and Related
",No
Juvenile Corrections,"Law Enforcement, Firefighting and Related
",No
Furniture Design and Manufacturing,Other Trade,No
Illustration,Other Trade,No
Agricultural and Extension Education Services,"Agricultural/Animal/Plant/Veterinary Science
",No
"Agricultural Business and Management, Other","Agricultural/Animal/Plant/Veterinary Science
",No
"Food Science and Technology, Other","Agricultural/Animal/Plant/Veterinary Science
",Yes
"Area, Ethnic, Cultural, Gender, and Group Studies, Other","Area, Ethnic, Cultural, Gender, and Group Studies
",No
Caribbean Studies,"Area, Ethnic, Cultural, Gender, and Group Studies
",No
Disability Studies,"Area, Ethnic, Cultural, Gender, and Group Studies
",No
East Asian Studies,"Area, Ethnic, Cultural, Gender, and Group Studies
",No
German Studies,"Area, Ethnic, Cultural, Gender, and Group Studies
",No
Near and Middle Eastern Studies,"Area, Ethnic, Cultural, Gender, and Group Studies
",No
Cardiovascular Science,"Health Professions and Related
",Yes
Ecology and Evolutionary Biology,"Biological and Biomedical Sciences
",Yes
Entomology,"Health Professions and Related
",Yes
"Microbiological Sciences and Immunology, Other","Biological and Biomedical Sciences
",Yes
Microbiology and Immunology,"Biological and Biomedical Sciences
",Yes
Molecular Medicine,"Health Professions and Related
",Yes
Oncology and Cancer Biology,"Biological and Biomedical Sciences
",Yes
Pharmacology,"Health Professions and Related
",Yes
"Physiology, General","Health Professions and Related
",Yes
Plant Pathology/Phytopathology,"Agricultural/Animal/Plant/Veterinary Science
",Yes
Financial Planning and Services,Business,No
Artificial Intelligence,Computer and Information Sciences,Yes
Agricultural Teacher Education,"Agricultural/Animal/Plant/Veterinary Science
",No
Agricultural Engineering,"Agricultural/Animal/Plant/Veterinary Science
",Yes
Transportation and Highway Engineering,Engineering,Yes
"Engineering-Related Technologies/Technicians, Other","Engineering Technologies/Technicians
",Yes
Comparative Literature,"Foreign Language and Literature
",No
"Iranian Languages, Literatures, and Linguistics","Foreign Language and Literature
",No
Adult Health Nurse/Nursing,Nursing and Related,No
"Clinical, Hospital, and Managed Care Pharmacy","Health Professions and Related
",No
Maternal and Child Health,"Health Professions and Related
",No
Pediatric Nurse/Nursing,Nursing and Related,No
"Legal Support Services, Other","Legal Professions and Studies
",No
Tribal/Indigenous Law,"Law Enforcement, Firefighting and Related
",No
"Intelligence, Command Control and Information Operations, Other","Computer and Information Sciences
",Yes
"Historic Preservation and Conservation, Other","History
",No
Linguistics and Anthropology,English Language and Literature,No
"Philosophy, Politics, and Economics","Public Administration and Social Service
",No
"Environmental/Natural Resources Management and Policy, Other","Natural Resources and Conservation
",No
Hydrology and Water Resources Science,"Natural Resources and Conservation
",Yes
Optics/Optical Sciences,"Health Professions and Related
",Yes
Planetary Astronomy and Science,"Agricultural/Animal/Plant/Veterinary Science
",Yes
Development Economics and International Development,Business,No
Medical Anthropology,"Health Professions and Related
",No
Documentary Production,"Visual and Performing Arts
",No
Stringed Instruments,"Visual and Performing Arts
",No
Horse Husbandry/Equine Science and Management,"Agricultural/Animal/Plant/Veterinary Science
",No
Hotel/Motel Administration/Management,Business,No
Yoga Teacher Training/Yoga Therapy,Other Trade,No
Playwriting and Screenwriting,"Visual and Performing Arts
",No
Gunsmithing/Gunsmith,Other Trade,No
Herbalism/Herbalist,"Health Professions and Related
",No
Holistic/Integrative Health,"Health Professions and Related
",No
Hypnotherapy/Hypnotherapist,"Health Professions and Related
",No
Casino Management,Business,No
Digital Marketing,Business,No
Communications Technology/Technician,"Communications and Journalism
",No
Computer Game Programming,"Computer and Information Sciences
",Yes
Robotics Technology/Technician,"Engineering Technologies/Technicians
",Yes
Animal Training,"Agricultural/Animal/Plant/Veterinary Science
",No
Viticulture and Enology,"Agricultural/Animal/Plant/Veterinary Science
",No
E-Commerce/Electronic Commerce,Business,No
Adult and Continuing Education Administration,"Education
",No
Junior High/Intermediate/Middle School Education and Teaching,"Education
",No
"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing, Other","Education
",No
Protective Services Operations,"Law Enforcement, Firefighting and Related
",No
Securities Services Administration/Management,"Law Enforcement, Firefighting and Related
",No
Urban Education and Leadership,"Education
",No
Health Communication,"Communications and Journalism
",No
"Public Relations, Advertising, and Applied Communication","Communications and Journalism
",No
Business and Innovation/Entrepreneurship Teacher Education,Business,No
College Student Counseling and Personnel Services,"Education
",No
Clinical Child Psychology,"Psychology
",No
Medical Reception/Receptionist,"Health Professions and Related
",No
Funeral Direction/Service,Other Trade,No
Speech Teacher Education,"Education
",No
Rehabilitation Science,"Health and Kinesiology
",No
Nuclear Physics,"Physical Sciences
",Yes
"Agricultural Production Operations, Other","Agricultural/Animal/Plant/Veterinary Science
",No
"Military Technologies and Applied Sciences, Other","Engineering Technologies/Technicians
",Yes
Metallurgical Technology/Technician,"Engineering Technologies/Technicians
",Yes
"Food Service, Waiter/Waitress, and Dining Room Management/Manager",Other Trade,No
Medium/Heavy Vehicle and Truck Technology/Technician,"Transportation and Materials Moving
",No
Communications Systems Installation and Repair Technology/Technician,"Engineering Technologies/Technicians
",No
Developmental and Child Psychology,"Psychology
",No
"Philosophy and Religious Studies, General","Philosophy and Religious Studies
",No
"Ancient Near Eastern and Biblical Languages, Literatures, and Linguistics","Foreign Language and Literature
",No
"Pastoral Counseling and Specialized Ministries, Other","Philosophy and Religious Studies
",No
Family and Consumer Sciences/Home Economics Teacher Education,Education,No
"Housing and Human Environments, General","Architecture and Related Services
",No
American  History (United States),"History
",No
Human Biology,"Biological and Biomedical Sciences
",Yes
Behavioral Neuroscience,"Biological and Biomedical Sciences
",Yes
Chemical Physics,"Physical Sciences
",Yes
Platemaker/Imager,Other Trade,No
Make-Up Artist/Specialist,"Visual and Performing Arts
",No
Aeronautical/Aerospace Engineering Technology/Technician,"Engineering Technologies/Technicians
",Yes
Environmental/Natural Resources Law Enforcement and Protective Services,"Law Enforcement, Firefighting and Related
",No
Food Technology and Processing,"Engineering Technologies/Technicians
",No
Materials Chemistry,"Biological and Biomedical Sciences
",Yes
"Heavy/Industrial Equipment Maintenance Technologies/Technicians, Other","Engineering Technologies/Technicians
",No
Jazz/Jazz Studies,"Visual and Performing Arts
",No
Chemical Technology/Technician,"Biological and Biomedical Sciences
",Yes
Peace Studies and Conflict Resolution,"Philosophy and Religious Studies
",No
Anatomy,"Health Professions and Related
",Yes
Cell Physiology,"Biological and Biomedical Sciences
",Yes
Toxicology,"Health Professions and Related
",Yes
Cytotechnology/Cytotechnologist,"Computer and Information Sciences
",Yes
Ophthalmic Technician/Technologist,"Biological and Biomedical Sciences
",No
Pharmacy Administration and Pharmacy Policy and Regulatory Affairs,"Biological and Biomedical Sciences
",No
Bartending/Bartender,Other Trade,No
Alternative Fuel Vehicle Technology/Technician,Other Trades,No
Motorcycle Maintenance and Repair Technology/Technician,Other Trades,No
Technology Teacher Education/Industrial Arts Teacher Education,"Education
",No
Emergency Care Attendant (EMT Ambulance),"Law Enforcement, Firefighting and Related
",No
Executive Assistant/Executive Secretary,Other Trades,No
International Economics,Business,No
Superintendency and Educational System Administration,"Education
",No
"Library Science, Other",Other Trades,No
"Clinical, Counseling and Applied Psychology, Other","Psychology
",No
Psychopharmacology,"Psychology
",Yes
Acting,"Visual and Performing Arts
",No
"Dramatic/Theatre Arts and Stagecraft, Other","Visual and Performing Arts
",No
Opticianry/Ophthalmic Dispensing Optician,"Biological and Biomedical Sciences
",No
"Literature, Other","English Language and Literature
",No
Bioethics/Medical Ethics,"Biological and Biomedical Sciences
",No
Rabbinical Studies,"Philosophy and Religious Studies
",No
Plant Nursery Operations and Management,"Agricultural/Animal/Plant/Veterinary Science
",No
Drywall Installation/Drywaller,Other Trade,No
Telecommunications Technology/Technician,"Engineering Technologies/Technicians
",Yes
Drawing,Other Trade,No
Apparel and Textile Manufacture,Other Trade,No
Consumer Merchandising/Retailing Management,Business,No
Fashion and Fabric Consultant,Other Trade,No
Urban Ministry,"Philosophy and Religious Studies
",No
Education/Teaching of Individuals with Multiple Disabilities,Education,No
"Engineering-Related Fields, Other",Engineering,No
"Teaching English or French as a Second or Foreign Language, Other",Education,No
Developmental Services Worker,"Public Administration and Social Service
",No
"Military Applied Sciences, Other",Other Trade,No
Cultural Anthropology,"Area, Ethnic, Cultural, Gender, and Group Studies
",No
Animal/Livestock Husbandry and Production,"Agricultural/Animal/Plant/Veterinary Science
",No
Architectural Technology/Technician,"Agricultural/Animal/Plant/Veterinary Science
",No
Industrial Safety Technology/Technician,"Engineering Technologies/Technicians
",No
Multicultural Education,Education,No
Floriculture/Floristry Operations and Management,"Agricultural/Animal/Plant/Veterinary Science
",No
Tourism and Travel Services Marketing Operations,Business,No
Ceramic Arts and Ceramics,"Visual and Performing Arts
",No
